Univ_Code,Univ_Name,Univ_Addr,Univ_Modoo_Url,
,가천대학교,경기 성남시 수정구 성남대로 1342 (복정동),gachonst.modoo.at/,
51002000,강원대학교,"강원도 강릉시 연주로 270 (주문진읍, 강원도립대학)",kangwonst.modoo.at/,
53006000,건국대학교,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",konkukst.modoo.at/,
53008000,경기대학교,경기 수원시 영통구 광교산로 154-42 경기대학교,http://kyonggist.modoo.at/,
53016000,경희대학교,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)",khust.modoo.at/,
53018000,고려대학교,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스)",koreast.modoo.at/,
53030000,단국대학교,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교죽전캠퍼스)",http://dankookst.modoo.at/,
53041000,동국대학교,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교)",donggukst.modoo.at/,
53042000,동덕여자대학교,"서울특별시 성북구 화랑로13길 60 (상월곡동, 동덕여자대학교)",http://dongdukst.modoo.at/,
53049000,명지대학교,서울특별시 서대문구 남가좌2동 50-3 ,http://mjust.modoo.at/,
,부평문화의거리,인천 부평구 부평문화로 78-2 ,http://bupyeongculturestree.modoo.at/,
53055000,상명대학교,서울특별시 종로구 홍지문2길 20,http://smust.modoo.at/,
,서강대당신의거리,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",sogangst4u.modoo.at/,
53057000,서강대학교,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",sogangst.modoo.at/,
51012000,서울대학교,서울 관악구 관악로 1 서울대학교,snust.modoo.at/,
52001000,서울시립대학교,서울 동대문구 서울시립대로 163 (전농동 90번지) ,uosst.modoo.at/,
,성남종합시장,경기도 성남시 수정구 신흥3동,eujonghap.modoo.at/,
,성수동 수제화,,seongsushoes.modoo.at/,
53068000,성신여자대학교,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교)",sungshinst.modoo.at/,
53070000,세종대학교,"서울특별시 광진구 능동로 209 (군자동, 세종대학교)",sejongst.modoo.at/,
53073000,숙명여자대학교,"서울특별시 용산구 청파로47길 100 (청파동2가, 숙명여자대학교)",sookmyungst.modoo.at/,
53078000,아주대학교,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교)",ajoust.modoo.at/,
53080000,연세대학교,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교)",http://yonseist.modoo.at/,
53094000,인하대학교,"인천광역시 남구 인하로 100 (용현동, 인하대학교)",inhast.modoo.at/,
51020000,충남대학교,대전 유성구 대학로 99 충남대학교,cnust.modoo.at/,
,한국외국어(글로벌)대학교,경기도 용인시 처인구 모현면 외대로 81,hufsglobalst.modoo.at/,
53113000,한국외국어대학교,서울 동대문구 이문로 107,hufsst.modoo.at/,
